,u,v,key,osmid,oneway,name,highway,maxspeed,length,geometry,bearing,lanes,ref,bridge,junction,width
142,278215422,2449869671,0,237038675,True,,primary_link,,35.762,"LINESTRING (59.5214821 36.3494464, 59.5213624 36.349338, 59.5212167 36.3492061)",221.7,,,,,
143,278215424,278215430,0,385028056,True,بولوار امامیه,primary,60.0,324.82000000000005,"LINESTRING (59.521742 36.3487796, 59.5218831 36.3483663, 59.5220577 36.3477726, 59.5224318 36.3465006, 59.5224694 36.3463198, 59.5224833 36.3461113, 59.52241 36.345938)",169.3,,,,,
144,278215430,278214262,0,315856527,True,,primary_link,,38.598000000000006,"LINESTRING (59.52241 36.345938, 59.5224425 36.3459096, 59.522483 36.345889, 59.5225286 36.3458774, 59.5225764 36.3458756, 59.5226232 36.3458837, 59.5226659 36.3459013, 59.5227015 36.345927, 59.5227277 36.3459593, 59.5227428 36.3459959)",77.8,,,,,
145,278215430,260631013,0,385028056,True,بولوار امامیه,primary,60.0,45.988,"LINESTRING (59.52241 36.345938, 59.5223064 36.3458283, 59.5221805 36.3457348, 59.5220364 36.3456605)",227.3,,,,,
146,278221068,2249333642,0,25529379,True,بولوار شاهد,primary,60.0,416.888,"LINESTRING (59.5180946 36.3590629, 59.5185922 36.3590992, 59.5191314 36.3591871, 59.5194001 36.3592647, 59.5195471 36.3593072, 59.5199437 36.3594619, 59.5203857 36.3596678, 59.5222577 36.360618)",65.1,,,,,
147,278221091,287263624,0,965864645,True,بولوار شاهد,primary,60.0,108.517,"LINESTRING (59.5284639 36.3637479, 59.5288945 36.3639363, 59.5291786 36.3640249, 59.5295851 36.3641005)",68.7,,,,,
148,278223330,278232281,0,65411125,True,,secondary_link,,54.252,"LINESTRING (59.5283915 36.3638534, 59.5281562 36.3638658, 59.5279781 36.3638874, 59.5278015 36.3639438)",280.8,,,,,
149,278223330,2249333690,0,466362333,True,بولوار شاهد,primary,60.0,39.555,"LINESTRING (59.5283915 36.3638534, 59.5281218 36.3637269, 59.528012 36.3636714)",239.2,,,,,
150,278223336,278214281,0,25529595,True,,primary_link,,81.90299999999999,"LINESTRING (59.5180906 36.3591823, 59.5176339 36.359282, 59.5174622 36.3593581, 59.5172648 36.3594756)",293.8,,,,,
151,278223336,2249333627,0,965864638,True,بولوار شاهد,primary,60.0,55.637,"LINESTRING (59.5180906 36.3591823, 59.5175896 36.359197, 59.5174697 36.3592005)",272.1,,,,,
152,278225149,2249333719,0,"[970332019, 468882815]",True,بولوار شاهد,primary,60.0,127.912,"LINESTRING (59.5343929 36.3647208, 59.5348892 36.3649915, 59.5353787 36.365293, 59.5355772 36.3653548)",56.4,,,,,
153,278225660,2249333713,0,644259990,True,کندرو بزرگراه پیامبر اعظم,trunk_link,80.0,171.644,"LINESTRING (59.5355534 36.3664145, 59.5360011 36.3655841, 59.5363565 36.3650135)",155.2,,,,,
154,278225660,278225664,0,968794520,True,بولوار شاهد,primary,60.0,103.673,"LINESTRING (59.5355534 36.3664145, 59.535526 36.3660114, 59.5355243 36.3659551, 59.5354811 36.365749, 59.5353762 36.3654996)",188.9,,,,,
155,278225664,2449870458,0,"[466362333, 968794510]",True,بولوار شاهد,primary,60.0,105.668,"LINESTRING (59.5353762 36.3654996, 59.5352963 36.3654227, 59.5347902 36.3650998, 59.5344999 36.3649379, 59.5344532 36.3649119)",231.7,,,,,
156,278226617,278226618,0,25529866,True,میدان مادر,primary,30.0,39.755,"LINESTRING (59.5134764 36.3593561, 59.5134137 36.3594641, 59.5133127 36.3595512, 59.5131832 36.3596088)",316.9,,,,roundabout,
157,278226618,2449870175,0,25529931,True,ادیب نیشابوری,secondary,50.0,73.37100000000001,"LINESTRING (59.5131832 36.3596088, 59.5130707 36.3598482, 59.5131231 36.3600902, 59.513166 36.3602446)",358.8,,,,,
158,278226618,278226622,0,971151477,True,میدان مادر,primary,30.0,26.501,"LINESTRING (59.5131832 36.3596088, 59.513038 36.3596315, 59.5128911 36.3596168)",271.9,,,,roundabout,
159,278226622,278226624,0,971151476,True,میدان مادر,primary,30.0,29.699,"LINESTRING (59.5128911 36.3596168, 59.512757 36.3595664, 59.5126489 36.359485, 59.5126332 36.3594592)",232.8,,,,roundabout,
160,278226624,278226626,0,382629790,True,میدان مادر,primary,30.0,44.20099999999999,"LINESTRING (59.5126332 36.3594592, 59.5125492 36.3592638, 59.5125891 36.3590758)",185.3,,,,roundabout,
161,278226624,278228405,0,965864637,True,بولوار شاهد,primary,60.0,307.10200000000003,"LINESTRING (59.5126332 36.3594592, 59.5125588 36.3593902, 59.5124808 36.3593533, 59.51234 36.3593518, 59.5119923 36.3593505, 59.511804 36.3593607, 59.5117172 36.3593589, 59.5100943 36.3593546, 59.5098685 36.3593589, 59.5092558 36.3593543)",267.8,,,,,
162,278226626,278226628,0,382629789,True,میدان مادر,primary,30.0,32.113,"LINESTRING (59.5125891 36.3590758, 59.51263 36.3590375, 59.512731 36.3589505, 59.5128605 36.3588928)",129.9,,,,roundabout,
163,278226628,278226630,0,964338615,True,میدان مادر,primary,30.0,26.51,"LINESTRING (59.5128605 36.3588928, 59.5130058 36.3588701, 59.5131527 36.3588848)",91.9,,,,roundabout,
164,278226628,2449870099,0,964338616,True,ادیب نیشابوری,secondary,50.0,107.865,"LINESTRING (59.5128605 36.3588928, 59.5129394 36.3586626, 59.5129367 36.3585919, 59.5129113 36.3579317)",177.6,,,,,
165,278226630,278226632,0,964338614,True,میدان مادر,primary,30.0,39.753,"LINESTRING (59.5131527 36.3588848, 59.5132867 36.3589352, 59.5133948 36.3590166, 59.5134665 36.3591209)",46.9,,,,roundabout,
166,278226632,6232811445,0,25529379,True,بولوار شاهد,primary,60.0,179.098,"LINESTRING (59.5134665 36.3591209, 59.513634 36.3591622, 59.5138088 36.3591726, 59.5154576 36.3591316)",89.6,,,,,
