,u,v,key,osmid,oneway,lanes,name,highway,maxspeed,length,geometry,bearing,junction,access,bridge
2679,659567724,659567715,0,51574149,True,,بولوار معلم,primary,60,482.762,"LINESTRING (59.4830824 36.3406194, 59.4826823 36.3407965, 59.4823477 36.3409333, 59.4819861 36.3410513, 59.4814928 36.3411978, 59.4795307 36.3417765, 59.4780789 36.3422201)",291.7,,,
2680,659567737,417818123,0,968231244,False,,میدان تربیت,primary,30,10.078,"LINESTRING (59.4878965 36.3376841, 59.4879324 36.3375982)",161.4,circular,,
2681,659567740,9075354706,0,963665387,True,,بولوار فارغ التحصیلان,secondary,50,12.151,"LINESTRING (59.4718993 36.3440479, 59.471947 36.3441502)",20.6,,,
2682,659567740,659567748,0,51574152,True,,بولوار معلم,primary,60,273.97,"LINESTRING (59.4718993 36.3440479, 59.4745172 36.3432441, 59.4747409 36.3431418)",111.6,,,
2683,659567741,659567740,0,963665386,True,,بولوار معلم,primary,60,12.72,"LINESTRING (59.4717681 36.3440917, 59.4718993 36.3440479)",112.5,,,
2684,659567741,8913920458,0,51574147,True,,بولوار فارغ التحصیلان,secondary,50,165.142,"LINESTRING (59.4717681 36.3440917, 59.4715836 36.3437102, 59.4713626 36.343257, 59.4711767 36.3428692, 59.4710993 36.3427077)",201.3,,,
2685,659567742,659567741,0,963665385,True,,بولوار فارغ التحصیلان,secondary,50,12.086,"LINESTRING (59.4718224 36.3441912, 59.4717681 36.3440917)",203.7,,,
2686,659567742,1030963643,0,969558955,True,,بولوار معلم,primary,40,291.52500000000003,"LINESTRING (59.4718224 36.3441912, 59.4716088 36.3442638, 59.4713415 36.3443204, 59.4710487 36.3443479, 59.4707502 36.3443399, 59.4705309 36.344317, 59.469993 36.3442189, 59.4696391 36.3441543, 59.4693579 36.3441126, 59.4690464 36.3441, 59.4686274 36.3441221)",268.5,,,
2687,659567746,9022443820,0,51574150,True,,بولوار معلم,primary,60,257.005,"LINESTRING (59.4751169 36.3430076, 59.4754216 36.3429501, 59.4758633 36.3428048, 59.4764525 36.3426224, 59.4778028 36.3422009)",110.4,,,
2688,659567746,659567761,0,963665402,True,,,primary,30,23.178,"LINESTRING (59.4751169 36.3430076, 59.4751649 36.3430653, 59.4751837 36.3431332, 59.4751705 36.3432018)",12.5,roundabout,,
2689,659567747,659567750,0,51574154,True,,,primary,30,15.562,"LINESTRING (59.4748022 36.3430138, 59.4748732 36.3429735, 59.474958 36.3429582)",113.9,roundabout,,
2690,659567747,980857375,0,84359070,True,,بولوار دندانپزشکان,secondary,50,123.399,"LINESTRING (59.4748022 36.3430138, 59.4746827 36.3426916, 59.4743428 36.3419682)",199.5,,,
2691,659567748,659567747,0,51574154,True,,,primary,30,15.555,"LINESTRING (59.4747409 36.3431418, 59.4747557 36.3430729, 59.4748022 36.3430138)",158.9,roundabout,,
2692,659567750,659567746,0,51574154,True,,,primary,30,15.554,"LINESTRING (59.474958 36.3429582, 59.4750436 36.3429702, 59.4751169 36.3430076)",68.9,roundabout,,
