,u,v,key,osmid,oneway,lanes,highway,maxspeed,length,bearing,name,bridge,geometry,width,ref,tunnel,junction
3436,2639744543,2639744530,0,612296040,False,,residential,30,13.302,80.5,بسکابادی ۸,,"LINESTRING (59.7148501 36.243561, 59.7149964 36.2435807)",,,,
3437,2639744543,2639744558,0,612296045,False,,residential,30,42.753,230.4,بسکابادی,,"LINESTRING (59.7148501 36.243561, 59.714483 36.2433157)",,,,
3438,2639744544,2639744648,0,58092033,False,,residential,30,20.078,42.1,حر ۴۱ + شهید بسکابادی,,"LINESTRING (59.7136697 36.2437207, 59.7138199 36.2438546)",,,,
3439,2639744544,2639744569,0,58092033,False,,residential,30,49.207,222.1,حر ۴۱ + شهید بسکابادی,,"LINESTRING (59.7136697 36.2437207, 59.7133015 36.2433926)",,,,
3440,2639744544,2639744545,0,258641942,False,,residential,30,81.301,137.6,رضایی مقدم ۱۱ + بسکابادی ۱۰,,"LINESTRING (59.7136697 36.2437207, 59.7142809 36.2431807)",,,,
3441,2639744545,2639744544,0,258641942,False,,residential,30,81.301,317.6,رضایی مقدم ۱۱ + بسکابادی ۱۰,,"LINESTRING (59.7142809 36.2431807, 59.7136697 36.2437207)",,,,
3442,2639744545,2639744558,0,612296045,False,,residential,30,23.534,50.4,بسکابادی,,"LINESTRING (59.7142809 36.2431807, 59.714483 36.2433157)",,,,
3443,2639744545,2639744571,0,612296057,False,,residential,30,16.46,225.6,بسکابادی ۱۲,,"LINESTRING (59.7142809 36.2431807, 59.7141498 36.2430771)",,,,
3444,2639744550,2639744632,0,258641943,False,,residential,30,163.792,329.0,بسکابادی ۱۴,,"LINESTRING (59.7147769 36.2401051, 59.7145004 36.2401051, 59.7144273 36.24021, 59.7139147 36.2412613)",,,,
3445,2639744550,2639744655,0,258641973,False,,residential,30,162.322,205.2,بسکابادی ۱۴/۹,,"LINESTRING (59.7147769 36.2401051, 59.7147842 36.2397699, 59.7145718 36.2393017, 59.714041 36.238845)",,,,
3446,2639744550,2639744574,0,612296037,False,,residential,30,49.017,13.4,,,"LINESTRING (59.7147769 36.2401051, 59.7148176 36.2403739, 59.7149023 36.2405296)",,,,
3447,2639744553,2639744556,0,258641944,False,,residential,30,28.921,43.8,,,"LINESTRING (59.715655 36.2412789, 59.7158781 36.2414667)",,,,
3448,2639744553,2639744635,0,612296069,False,,residential,30,58.363,124.8,ولیعصر ۲۱,,"LINESTRING (59.715655 36.2412789, 59.7161896 36.2409796)",,,,
3449,2639744553,2639744633,0,258641951,False,,residential,30,67.506,323.5,رضایی مقدم ۱۴,,"LINESTRING (59.715655 36.2412789, 59.7155005 36.2413773, 59.715213 36.241761)",,,,
3450,2639744553,2639744574,0,612296037,False,,residential,30,110.069,219.0,,,"LINESTRING (59.715655 36.2412789, 59.7151103 36.2409117, 59.7149023 36.2405296)",,,,
3451,2639744556,2639744553,0,258641944,False,,residential,30,28.921,223.8,,,"LINESTRING (59.7158781 36.2414667, 59.715655 36.2412789)",,,,
