,u,v,key,osmid,oneway,name,highway,maxspeed,length,geometry,bearing,junction,lanes,width
1103,269687901,269687983,0,24823965,False,شقایق جنوبی ۳,residential,30,93.409,"LINESTRING (59.5488441 36.3169692, 59.549883 36.3168989)",94.8,,,
1104,269687902,265809594,0,24823945,False,پامچال,residential,30,57.152,"LINESTRING (59.5489131 36.3177065, 59.5489615 36.318219)",4.4,,,
1105,269687902,269687901,0,24823945,False,پامچال,residential,30,82.217,"LINESTRING (59.5489131 36.3177065, 59.5488441 36.3169692)",184.3,,,
1106,269687902,269687947,0,24823959,False,پامچال ۶,residential,30,98.565,"LINESTRING (59.5489131 36.3177065, 59.5478155 36.3177664)",273.9,,,
1107,269687947,269687902,0,24823959,False,پامچال ۶,residential,30,98.565,"LINESTRING (59.5478155 36.3177664, 59.5489131 36.3177065)",93.9,,,
1108,269687981,269687901,0,24823964,False,پامچال ۴,residential,30,96.397,"LINESTRING (59.5477715 36.3170372, 59.5488441 36.3169692)",94.5,,,
1109,269687983,269687901,0,24823965,False,شقایق جنوبی ۳,residential,30,93.409,"LINESTRING (59.549883 36.3168989, 59.5488441 36.3169692)",274.8,,,
1110,269688064,269687900,0,24823969,False,پامچال ۲,residential,30,94.199,"LINESTRING (59.54772 36.3162212, 59.548768 36.3161535)",94.6,,,
1111,269688075,269687900,0,24823971,False,شقایق جنوبی ۵,residential,30,87.049,"LINESTRING (59.549737 36.3160967, 59.548768 36.3161535)",274.2,,,
1112,269688084,265809832,0,24823974,False,بزرگمهر جنوبی ۱۸,residential,30,91.973,"LINESTRING (59.5503379 36.3160552, 59.5513618 36.3159961)",94.1,,,
1113,269688086,265809787,0,24823975,False,بزرگمهر جنوبی ۲۰,residential,30,84.283,"LINESTRING (59.5505009 36.3168713, 59.5514392 36.3168172)",94.1,,,
1114,269688296,270166999,0,24823986,False,شقایق,residential,30,57.695,"LINESTRING (59.5501966 36.3176188, 59.5502397 36.3181365)",3.8,,,
1115,269688296,269687902,0,553126412,True,شقایق جنوبی ۱,residential,30,115.408,"LINESTRING (59.5501966 36.3176188, 59.5489131 36.3177065)",274.8,,,
1116,269688296,269687808,0,24823986,False,شقایق,residential,30,223.249,"LINESTRING (59.5501966 36.3176188, 59.5501342 36.3168881, 59.5500647 36.3160737, 59.5500257 36.3156158)",183.9,,,
1117,270166999,265809595,0,24457016,True,بولوار سجاد,secondary,60,116.906,"LINESTRING (59.5502397 36.3181365, 59.5515407 36.3180559)",94.4,,,
1118,270166999,269688296,0,24823986,False,شقایق,residential,30,57.695,"LINESTRING (59.5502397 36.3181365, 59.5501966 36.3176188)",183.8,,,
1119,270167052,2334971931,0,24863005,False,,residential,30,57.022,"LINESTRING (59.5418568 36.3182514, 59.5417274 36.3177493)",191.7,,,
1120,270167052,1088224329,0,"[24863003, 24863005]",False,آزادی ۱۱,residential,30,201.759,"LINESTRING (59.5418568 36.3182514, 59.5419726 36.3187356, 59.5435766 36.3184605)",81.4,,,
1121,270167052,270167054,0,311274299,False,آزادی ۹,tertiary,40,114.457,"LINESTRING (59.5418568 36.3182514, 59.5419226 36.3182367, 59.5430879 36.3179765)",105.5,,,
1122,270167054,270167077,0,24862977,False,سجاد ۲۴,residential,30,64.65,"LINESTRING (59.5430879 36.3179765, 59.5435433 36.3184275)",39.1,,,
1123,270167054,1088223266,0,24862977,False,سجاد ۲۴,residential,30,58.973,"LINESTRING (59.5430879 36.3179765, 59.5426725 36.3175651)",219.1,,,
1124,270167054,270167056,0,740857541,False,عمید ۱۲,tertiary,40,130.093,"LINESTRING (59.5430879 36.3179765, 59.5442185 36.3172424)",128.9,,,
1125,270167054,270167052,0,311274299,False,آزادی ۹,tertiary,40,114.457,"LINESTRING (59.5430879 36.3179765, 59.5419226 36.3182367, 59.5418568 36.3182514)",285.5,,,
1126,270167056,270167532,0,24863127,False,عمید,residential,30,65.14,"LINESTRING (59.5442185 36.3172424, 59.5446766 36.3176973)",39.1,,,
